Time,Intensity131,Intensity142,IntensityHOE2,Intensitystandardmix,IntensityTetra
1,-12,-11,-11,-53,-27
1.00833,-13,-12,-10,-54,-26
1.01667,-13,-14,-10,-54,-25
1.025,-13,-15,-9,-55,-26
1.03333,-12,-14,-9,-56,-27
1.04167,-11,-13,-9,-57,-26
1.05,-13,-13,-10,-58,-25
1.05833,-14,-12,-10,-58,-26
1.06667,-14,-12,-9,-58,-27
1.075,-14,-13,-8,-58,-27
1.08333,-14,-13,-8,-58,-27
1.09167,-14,-13,-9,-58,-27
1.1,-15,-13,-10,-58,-27
1.10833,-15,-13,-11,-58,-26
1.11667,-15,-13,-12,-59,-27
1.125,-14,-13,-12,-60,-27
1.13333,-13,-14,-13,-60,-28
1.14167,-14,-14,-14,-60,-28
1.15,-14,-14,-14,-60,-28
1.15833,-14,-13,-13,-61,-28
1.16667,-15,-13,-13,-60,-27
1.175,-15,-13,-12,-61,-28
1.18333,-15,-12,-11,-61,-29
1.19167,-14,-12,-12,-62,-29
1.2,-15,-12,-12,-63,-29
1.20833,-15,-14,-12,-62,-28
1.21667,-16,-14,-13,-62,-27
1.225,-16,-15,-15,-61,-28
1.23333,-17,-15,-15,-61,-29
1.24167,-17,-16,-15,-61,-29
1.25,-17,-16,-15,-61,-30
1.25833,-18,-16,-14,-60,-30
1.26667,-18,-15,-14,-60,-29
1.275,-19,-14,-14,-62,-29
1.28333,-19,-14,-14,-63,-28
1.29167,-19,-14,-15,-63,-28
1.3,-18,-14,-16,-63,-28
1.30833,-18,-14,-17,-63,-28
1.31667,-19,-15,-17,-63,-28
1.325,-20,-16,-18,-65,-28
1.33333,-20,-16,-19,-66,-28
1.34167,-20,-17,-18,-67,-28
1.35,-19,-17,-18,-66,-30
1.35833,-18,-16,-18,-65,-31
1.36667,-17,-15,-19,-64,-32
1.375,-19,-15,-19,-65,-33
1.38333,-19,-16,-19,-65,-33
1.39167,-18,-16,-19,-65,-33
1.4,-18,-17,-19,-65,-33
1.40833,-19,-18,-18,-66,-33
1.41667,-19,-18,-19,-66,-32
1.425,-20,-18,-21,-67,-32
1.43333,-20,-17,-21,-67,-32
1.44167,-19,-15,-21,-68,-32
1.45,-19,-14,-21,-68,-32
1.45833,-20,-15,-21,-68,-32
1.46667,-20,-16,-21,-68,-32
1.475,-20,-16,-20,-67,-31
1.48333,-20,-16,-20,-67,-31
1.49167,-19,-16,-20,-68,-31
1.5,-20,-17,-20,-70,-31
1.50833,-20,-16,-19,-70,-31
1.51667,-21,-16,-19,-70,-32
1.525,-21,-15,-20,-70,-32
1.53333,-21,-15,-21,-70,-33
1.54167,-20,-16,-21,-70,-34
1.55,-20,-17,-20,-70,-34
1.55833,-20,-18,-20,-71,-34
1.56667,-21,-19,-20,-71,-35
1.575,-22,-19,-21,-71,-35
1.58333,-22,-18,-23,-71,-34
1.59167,-22,-18,-24,-71,-34
1.6,-21,-18,-24,-71,-35
1.60833,-20,-17,-24,-71,-35
1.61667,-20,-18,-24,-71,-35
1.625,-21,-18,-23,-71,-36
1.63333,-21,-18,-22,-72,-36
1.64167,-21,-19,-21,-72,-36
1.65,-21,-19,-22,-72,-36
1.65833,-21,-19,-22,-72,-35
1.66667,-21,-19,-23,-73,-36
1.675,-21,-19,-23,-73,-36
1.68333,-22,-19,-23,-74,-35
1.69167,-22,-18,-25,-75,-35
1.7,-21,-17,-26,-74,-36
1.70833,-21,-16,-26,-74,-37
1.71667,-20,-16,-26,-73,-37
1.725,-19,-17,-27,-74,-37
1.73333,-19,-18,-26,-74,-37
1.74167,-20,-19,-26,-75,-37
1.75,-21,-19,-26,-75,-36
1.75833,-22,-18,-26,-76,-36
1.76667,-23,-18,-27,-76,-36
1.775,-25,-19,-28,-75,-36
1.78333,-26,-19,-29,-74,-36
1.79167,-25,-18,-30,-74,-36
1.8,-25,-19,-29,-74,-37
1.80833,-24,-18,-28,-75,-37
1.81667,-24,-18,-27,-76,-36
1.825,-25,-18,-27,-76,-36
1.83333,-24,-19,-28,-75,-36
1.84167,-24,-18,-29,-74,-36
1.85,-24,-18,-29,-74,-37
1.85833,-23,-18,-28,-76,-36
1.86667,-23,-18,-27,-79,-35
1.875,-23,-17,-28,-79,-35
1.88333,-24,-18,-28,-79,-35
1.89167,-24,-18,-27,-78,-36
1.9,-23,-18,-26,-78,-37
1.90833,-23,-19,-26,-78,-37
1.91667,-23,-19,-26,-77,-38
1.925,-24,-18,-26,-76,-38
1.93333,-24,-18,-27,-76,-37
1.94167,-24,-18,-28,-77,-36
1.95,-23,-17,-28,-77,-36
1.95833,-23,-18,-29,-77,-37
1.96667,-23,-17,-29,-78,-38
1.975,-25,-18,-28,-78,-37
1.98333,-25,-18,-28,-78,-36
1.99167,-25,-18,-27,-78,-37
2,-24,-18,-27,-78,-37
2.00833,-24,-18,-28,-80,-37
2.01667,-24,-19,-28,-81,-37
2.025,-23,-19,-28,-81,-37
2.03333,-23,-19,-28,-81,-38
2.04167,-24,-18,-29,-81,-38
2.05,-25,-18,-31,-81,-38
2.05833,-24,-19,-31,-82,-39
2.06667,-24,-19,-31,-82,-39
2.075,-25,-20,-31,-82,-40
2.08333,-25,-21,-31,-82,-39
2.09167,-25,-21,-31,-82,-39
2.1,-25,-22,-32,-83,-39
2.10833,-25,-22,-32,-83,-39
2.11667,-24,-23,-32,-82,-38
2.125,-24,-21,-32,-82,-38
2.13333,-24,-20,-32,-82,-38
2.14167,-24,-20,-32,-82,-39
2.15,-24,-19,-32,-82,-39
2.15833,-24,-17,-32,-82,-39
2.16667,-24,-18,-33,-80,-39
2.175,-24,-19,-32,-79,-38
2.18333,-25,-21,-33,-78,-38
2.19167,-25,-21,-32,-78,-39
2.2,-26,-21,-32,-79,-39
2.20833,-26,-20,-32,-80,-38
2.21667,-26,-19,-32,-81,-37
2.225,-26,-19,-32,-83,-36
2.23333,-25,-19,-32,-85,-37
2.24167,-26,-18,-32,-85,-39
2.25,-26,-18,-33,-84,-40
2.25833,-25,-19,-33,-84,-40
2.26667,-25,-19,-34,-85,-40
2.275,-25,-19,-34,-84,-40
2.28333,-24,-18,-33,-84,-40
2.29167,-24,-18,-32,-84,-39
2.3,-23,-18,-31,-84,-39
2.30833,-23,-17,-31,-84,-40
2.31667,-26,-17,-31,-85,-40
2.325,-27,-17,-32,-86,-41
2.33333,-26,-17,-32,-87,-41
2.34167,-26,-17,-32,-87,-41
2.35,-26,-17,-33,-86,-40
2.35833,-27,-18,-33,-86,-38
2.36667,-27,-18,-33,-87,-37
2.375,-27,-19,-32,-87,-37
2.38333,-27,-20,-32,-87,-38
2.39167,-27,-21,-32,-86,-39
2.4,-28,-21,-33,-86,-40
2.40833,-28,-22,-34,-86,-41
2.41667,-28,-22,-34,-86,-42
2.425,-29,-21,-34,-86,-42
2.43333,-30,-21,-34,-86,-42
2.44167,-30,-21,-34,-87,-42
2.45,-29,-20,-35,-87,-42
2.45833,-28,-20,-34,-86,-42
2.46667,-28,-19,-34,-86,-42
2.475,-28,-19,-34,-86,-41
2.48333,-28,-20,-34,-86,-40
2.49167,-28,-20,-34,-87,-40
2.5,-28,-21,-34,-87,-40
2.50833,-28,-22,-35,-86,-40
2.51667,-27,-22,-35,-86,-40
2.525,-26,-21,-34,-87,-40
2.53333,-27,-21,-34,-88,-41
2.54167,-26,-21,-34,-88,-41
2.55,-26,-20,-34,-86,-42
2.55833,-28,-20,-35,-83,-43
2.56667,-28,-21,-35,-84,-44
2.575,-27,-22,-35,-84,-45
2.58333,-27,-22,-34,-85,-44
2.59167,-27,-20,-34,-86,-44
2.6,-27,-18,-33,-87,-43
2.60833,-27,-18,-33,-88,-41
2.61667,-27,-18,-34,-89,-42
2.625,-28,-18,-35,-90,-42
2.63333,-28,-18,-36,-91,-41
2.64167,-26,-19,-37,-91,-41
2.65,-25,-20,-36,-92,-42
2.65833,-27,-21,-37,-92,-43
2.66667,-27,-20,-37,-91,-44
2.675,-27,-20,-37,-91,-43
2.68333,-27,-21,-37,-93,-42
2.69167,-27,-21,-37,-93,-42
2.7,-27,-21,-37,-93,-43
2.70833,-28,-20,-38,-93,-44
2.71667,-28,-20,-38,-93,-43
2.725,-28,-20,-38,-92,-43
2.73333,-28,-20,-39,-91,-44
2.74167,-28,-20,-40,-91,-46
2.75,-28,-19,-40,-90,-46
2.75833,-27,-19,-39,-90,-46
2.76667,-28,-20,-38,-90,-45
2.775,-28,-20,-37,-91,-44
2.78333,-28,-19,-37,-92,-44
2.79167,-28,-20,-37,-91,-44
2.8,-28,-20,-38,-91,-43
2.80833,-27,-20,-39,-91,-44
2.81667,-27,-20,-40,-92,-44
2.825,-28,-19,-40,-91,-43
2.83333,-28,-20,-39,-89,-41
2.84167,-30,-21,-39,-87,-41
2.85,-29,-21,-38,-86,-40
2.85833,-29,-22,-37,-85,-39
2.86667,-29,-22,-36,-82,-36
2.875,-29,-21,-37,-80,-33
2.88333,-28,-21,-38,-78,-30
2.89167,-29,-22,-39,-76,-26
2.9,-30,-22,-38,-74,-22
2.90833,-30,-22,-39,-73,-19
2.91667,-29,-21,-39,-70,-15
2.925,-29,-21,-39,-71,-12
2.93333,-30,-20,-38,-71,-10
2.94167,-30,-19,-39,-72,-9
2.95,-30,-20,-38,-73,-8
2.95833,-29,-21,-38,-74,-9
2.96667,-30,-22,-37,-75,-10
2.975,-30,-22,-38,-75,-11
2.98333,-29,-20,-38,-76,-12
2.99167,-29,-19,-37,-78,-15
3,-28,-20,-38,-79,-17
3.00833,-28,-22,-39,-81,-20
3.01667,-29,-21,-39,-83,-22
3.025,-28,-21,-38,-85,-24
3.03333,-28,-21,-37,-86,-27
3.04167,-27,-21,-37,-88,-30
3.05,-27,-20,-38,-90,-31
3.05833,-26,-20,-38,-91,-32
3.06667,-27,-21,-38,-91,-33
3.075,-28,-21,-39,-93,-34
3.08333,-27,-21,-40,-95,-36
3.09167,-27,-20,-40,-96,-38
3.1,-26,-18,-41,-97,-40
3.10833,-25,-18,-41,-98,-42
3.11667,-23,-17,-40,-99,-44
3.125,-21,-15,-39,-101,-46
3.13333,-20,-13,-39,-103,-48
3.14167,-19,-10,-38,-103,-50
3.15,-18,-8,-38,-104,-51
3.15833,-16,-6,-38,-106,-52
3.16667,-13,-2,-38,-109,-54
3.175,-10,1,-37,-114,-55
3.18333,-8,4,-38,-121,-57
3.19167,-5,7,-39,-130,-57
3.2,-2,9,-40,-141,-59
3.20833,0,11,-39,-152,-61
3.21667,2,12,-39,-165,-66
3.225,3,12,-39,-177,-74
3.23333,4,12,-41,-188,-85
3.24167,5,11,-42,-199,-99
3.25,6,12,-41,-210,-114
3.25833,5,10,-41,-220,-130
3.26667,4,9,-41,-229,-148
3.275,3,9,-41,-236,-165
3.28333,1,7,-40,-239,-180
3.29167,-1,6,-39,-239,-193
3.3,-3,5,-38,-237,-205
3.30833,-4,4,-39,-234,-216
3.31667,-6,0,-39,-230,-222
3.325,-8,-3,-40,-226,-226
3.33333,-10,-5,-41,-220,-227
3.34167,-11,-6,-42,-214,-225
3.35,-13,-7,-42,-207,-221
3.35833,-16,-9,-42,-200,-215
3.36667,-17,-11,-43,-191,-207
3.375,-18,-12,-44,-180,-197
3.38333,-19,-13,-44,-169,-188
3.39167,-20,-15,-43,-159,-177
3.4,-22,-17,-41,-149,-166
3.40833,-26,-19,-41,-138,-153
3.41667,-28,-20,-39,-129,-140
3.425,-29,-22,-38,-120,-127
3.43333,-31,-23,-37,-111,-113
3.44167,-34,-27,-37,-102,-99
3.45,-39,-32,-36,-94,-87
3.45833,-46,-40,-34,-86,-77
3.46667,-56,-51,-31,-79,-67
3.475,-68,-63,-29,-72,-57
3.48333,-82,-77,-27,-65,-46
3.49167,-97,-94,-25,-59,-35
3.5,-114,-111,-23,-54,-24
3.50833,-131,-129,-22,-49,-15
3.51667,-148,-145,-21,-46,-6
3.525,-163,-159,-20,-42,2
3.53333,-178,-171,-19,-39,10
