Sample,group,food,sex,DevTime,hyb.id,cross,mass.mg,vol.ml,astax.ug.ml,astax.mg,cop,astax.cop,mito.type,group,gen
43,Par,Tetra,M,6.06,BR,BRxBR,0.063,0.09,0.184004,0.262863443,6,0.00276006,BR,11,Parental
44,Par,Tetra,M,7.33,BR,BRxBR,0.114,0.09,0.247621,0.195490195,11,0.00202599,BR,11,Parental
45,Par,Tetra,M,7.75,BR,BRxBR,0.211,0.09,0.659245,0.281194555,21,0.002825336,BR,11,Parental
75,Par,Tetra,M,7.5,BR,BRxBR,0.149,0.09,0.31648,0.191162578,13,0.002191015,BR,11,Parental
58,RIL,Tetra,M,7.05,BRSD50,BRxSD,0.042,0.09,0.0733,0.156966987,5,0.0013194,BR,11,Hybrid
59,RIL,Tetra,M,7.4,BRSD50,BRxSD,0.04,0.09,0.079,0.177765664,5,0.001422,BR,11,Hybrid
50,Par,Tetra,M,7.5,BUF,BUFxBUF,0.035,0.09,0.0807,0.207562233,4,0.00181575,BUF,12,Parental
72,RIL,Tetra,M,6,BUFSD24,BUFxSD,0.024,0.09,0.0216,0.080915049,3,0.000648,BUF,12,Hybrid
68,RIL,Tetra,M,7.83,BUFSD4,BUFxSD,0.069,0.09,0.0952,0.124164561,8,0.001071,BUF,12,Hybrid
69,RIL,Tetra,M,7.33,BUFSD4,BUFxSD,0.047,0.09,0.0799,0.152975687,5,0.0014382,BUF,12,Hybrid
46,Par,Tetra,M,6.72,PES,PESxPES,0.121,0.09,0.361698,0.269031422,9,0.00361698,PES,13,Parental
47,Par,Tetra,M,8.53,PES,PESxPES,0.051,0.09,0.0876,0.154671259,4,0.001971,PES,13,Parental
52,Par,Tetra,M,6.73,PES,PESxPES,0.113,0.09,0.19432,0.154768338,8,0.0021861,PES,13,Parental
53,Par,Tetra,M,6.87,PES,PESxPES,0.184,0.09,0.370199,0.181075626,12,0.002776493,PES,13,Parental
73,RIL,Tetra,M,6.69,PESAB20,PESxAB,0.141,0.09,0.235649,0.150414208,13,0.001631416,PES,13,Hybrid
74,RIL,Tetra,M,7.12,PESAB20,PESxAB,0.108,0.09,0.205748,0.17145696,10,0.001851732,PES,13,Hybrid
38,Par,Tetra,M,,SCN,SCNxSCN,0.028,0.09,0.0361,0.116152911,2,0.0016245,SCN,2,Parental
40,Par,Tetra,M,,SCN,SCNxSCN,0.071,0.09,0.146307,0.185458978,6,0.002194605,SCN,2,Parental
51,Par,Tetra,M,6.05,SCN,SCNxSCN,0.074,0.09,0.18445,0.224331442,6,0.00276675,SCN,2,Parental
56,Par,Tetra,M,5.67,SCN,SCNxSCN,0.066,0.09,0.137247,0.187154574,5,0.002470446,SCN,2,Parental
65,Par,Tetra,M,6.97,SCN,SCNxSCN,0.166,0.09,0.380744,0.206427228,14,0.00244764,SCN,2,Parental
66,Par,Tetra,M,6.19,SCN,SCNxSCN,0.138,0.09,0.373601,0.243652951,12,0.002802008,SCN,2,Parental
67,Par,Tetra,M,7.08,SCN,SCNxSCN,0.096,0.09,0.186835,0.175157714,8,0.002101894,SCN,2,Parental
137,Par,Tetra,M,,SCN,SCNxSCN,0.238,0.09,0.222826,0.08426193,19,0.001055492,SCN,2,Parental
138,Par,Tetra,M,,SCN,SCNxSCN,0.249,0.09,0.221064,0.079902534,19,0.001047145,SCN,2,Parental
139,Par,Tetra,M,,SCN,SCNxSCN,0.238,0.09,0.18869,0.071353478,19,0.000893795,SCN,2,Parental
140,Par,Tetra,M,,SCN,SCNxSCN,0.232,0.09,0.239842,0.093041989,19,0.001136094,SCN,2,Parental
141,Par,Tetra,M,,SCN,SCNxSCN,0.24,0.09,0.163596,0.061348686,19,0.000774928,SCN,2,Parental
