Sample,gen,food,sex,id,ril.id,cross,mass,vol,astax,astax.mg,bcarot,bcarot.mg,hydroxy,hydroxy.mg,total.dietary,asta.to.dietary,asta.to.hydroxy,n,astax.cop,mito.type,group,round
85,Hybrid,Algae,M,BUFSD4,BUFSD4,BUFxSD,0.134,0.06,0.51652,0.231277612,0.07215,0.03230597,0.09961,0.044601493,0.076907463,3.007219364,5.185423098,15,0.00206608,BUF,2,1
86,Hybrid,Algae,M,BUFSD4,BUFSD4,BUFxSD,0.134,0.06,0.57282,0.256486567,0.0683,0.03058209,0.10403,0.046580597,0.077162687,3.323971429,5.506296259,15,0.00229128,BUF,2,1
87,Hybrid,Algae,M,BUFSD4,BUFSD4,BUFxSD,0.112,0.06,0.43106,0.230925,0.00454,0.002432143,0.0662,0.035464286,0.037896429,6.093582063,6.51148031,13,0.001989508,BUF,2,1
88,Hybrid,Algae,F,BUFSD4,BUFSD4,BUFxSD,0.179,0.06,0.6686,0.224111732,0.0097,0.003251397,0.12314,0.041275978,0.044527375,5.033122478,5.429592292,15,0.0026744,BUF,2,1
89,Hybrid,Algae,F,BUFSD4,BUFSD4,BUFxSD,0.158,0.06,0.53938,0.204827848,0.01414,0.00536962,0.0743,0.02821519,0.03358481,6.098824081,7.259488524,15,0.00215752,BUF,2,1
90,Hybrid,Algae,F,BUFSD4,BUFSD4,BUFxSD,0.168,0.06,0.56205,0.200732143,0.01653,0.005903571,0.09309,0.033246429,0.03915,5.127257803,6.037705373,16,0.002107688,BUF,2,1
91,Hybrid,Algae,M,BRSD50,BRSD50,BRxSD,0.15,0.06,0.30574,0.122296,0.09902,0.039608,0.08065,0.03226,0.071868,1.701675294,3.790948543,13,0.001411108,BR,5,1
92,Hybrid,Algae,M,BRSD50,BRSD50,BRxSD,0.157,0.06,0.3103,0.118585987,0.13236,0.050583439,0.09383,0.035858599,0.086442038,1.37185552,3.307044623,13,0.001432154,BR,5,1
93,Hybrid,Algae,M,BRSD50,BRSD50,BRxSD,0.133,0.06,0.31188,0.140697744,0.09347,0.042166917,0.05002,0.022565414,0.064732331,2.173531245,6.235105813,11,0.001701164,BR,5,1
94,Hybrid,Algae,F,BRSD50,BRSD50,BRxSD,0.189,0.06,0.74398,0.236184127,0.14299,0.045393651,0.12582,0.039942857,0.085336508,2.767679772,5.913050411,13,0.003433754,BR,5,1
95,Hybrid,Algae,F,BRSD50,BRSD50,BRxSD,0.187,0.06,0.48271,0.154880214,0.09143,0.029335829,0.0939,0.030128342,0.059464171,2.604597212,5.140681621,13,0.002227892,BR,5,1
96,Hybrid,Algae,F,BRSD50,BRSD50,BRxSD,0.102,0.06,0.28741,0.169064706,0.03389,0.019935294,0.04613,0.027135294,0.047070588,3.591727089,6.230435756,9,0.001916067,BR,5,1
97,Parental,Algae,M,BR-1,BR,BRxBR,0.171,0.06,0.7412,0.260070175,0.10129,0.035540351,0.08711,0.030564912,0.066105263,3.934182593,8.508782064,15,0.0029648,BR,4,1
98,Parental,Algae,M,BR-2,BR,BRxBR,0.166,0.06,0.58786,0.212479518,0.14821,0.05356988,0.10063,0.036372289,0.089942169,2.362401534,5.841796704,15,0.00235144,BR,4,1
99,Parental,Algae,M,BR-3,BR,BRxBR,0.184,0.06,0.55575,0.181222826,0.1386,0.045195652,0.13298,0.043363043,0.088558695,2.046358362,4.179199924,17,0.001961471,BR,4,1
100,Parental,Algae,F,BR-4,BR,BRxBR,0.194,0.06,0.66474,0.205589691,0.00363,0.00112268,0.09702,0.030006186,0.031128866,6.604470943,6.851576905,13,0.003068031,BR,4,1
101,Parental,Algae,F,BR-5,BR,BRxBR,0.19,0.06,0.51515,0.162678947,0.00215,0.000678947,0.06843,0.021609474,0.022288421,7.298809862,7.52813081,13,0.002377615,BR,4,1
102,Parental,Algae,F,BR-6,BR,BRxBR,0.158,0.06,0.60902,0.231273418,0.00465,0.001765823,0.06134,0.023293671,0.025059494,9.228973977,9.928594681,11,0.003321927,BR,4,1
103,Parental,Algae,M,BUF-1,BUF,BUFxBUF,0.168,0.06,1.21632,0.4344,0.09559,0.034139286,0.113,0.040357143,0.074496429,5.831151987,10.76389377,15,0.00486528,BUF,1,1
104,Parental,Algae,M,BUF-2,BUF,BUFxBUF,0.162,0.06,1.14945,0.425722222,0.12528,0.0464,0.07693,0.028492593,0.074892593,5.684436938,14.94150504,15,0.0045978,BUF,1,1
105,Parental,Algae,M,BUF-3,BUF,BUFxBUF,0.138,0.06,0.8,0.347826087,0.07259,0.03156087,0.04902,0.021313043,0.052873913,6.578406387,16.31986981,13,0.003692308,BUF,1,1
106,Parental,Algae,F,BUF-4,BUF,BUFxBUF,0.18,0.06,0.65978,0.219926667,0.00782,0.002606667,0.09166,0.030553333,0.03316,6.632287907,7.198123589,13,0.003045138,BUF,1,1
107,Parental,Algae,F,BUF-5,BUF,BUFxBUF,0.19,0.06,0.80035,0.252742105,0.04735,0.014952632,0.08521,0.026908421,0.041861053,6.037643272,9.392676924,13,0.003693923,BUF,1,1
108,Parental,Algae,F,BUF-6,BUF,BUFxBUF,0.169,0.06,0.61153,0.217111243,0.05353,0.019004734,0.06016,0.02135858,0.040363314,5.378925105,10.1650598,13,0.002822446,BUF,1,1
109,Parental,Algae,M,PES-1,PES,PESxPES,0.162,0.06,1.07489,0.398107407,0.09767,0.036174074,0.13533,0.050122222,0.086296296,4.613261814,7.942732607,12,0.00537445,PES,7,1
110,Parental,Algae,M,PES-2,PES,PESxPES,0.164,0.06,1.002,0.366585366,0.08474,0.031002439,0.12959,0.047410976,0.078413415,4.675033806,7.732078032,12,0.00501,PES,7,1
111,Parental,Algae,F,PES-3,PES,PESxPES,0.26,0.06,1.05705,0.243934615,0.00814,0.001878462,0.12211,0.028179231,0.030057693,8.115546825,8.656539101,17,0.003730765,PES,7,1
112,Hybrid,Algae,M,PESAB20,PESAB20,PESxAB,0.195,0.06,1.06113,0.326501538,0.13027,0.040083077,0.16564,0.050966154,0.091049231,3.585988969,6.406242425,15,0.00424452,PES,6,1
113,Hybrid,Algae,M,PESAB20,PESAB20,PESxAB,0.197,0.06,0.92715,0.282380711,0.15512,0.04724467,0.15259,0.046474112,0.093718782,3.013064244,6.076086209,15,0.0037086,PES,6,1
