sampleID,date,ril.id,cross,group,food,Males,Females,atpc1,atpc2,avgc1,avgc2,CS,CS_cop,atpc1_nonnorm,atpc2_nonnorm
A32,6/16/2020,AB ,AB,Parental,Yeast,10,10,-487.9174976,561.8791394,,,0.304176374,0.015208819,-148.4129752,170.9103593
A33,6/16/2020,AB ,AB,Parental,Yeast,10,10,303.6573599,658.4835014,303.6573599,658.4835014,0.297008604,0.01485043,90.18884847,195.5752653
A15,3/5/2020,BR,BR,Parental,Yeast,10,10,563.2653345,874.1585386,,,0.3635503,0.018177515,125.221068,194.3365926
A16,3/5/2020,BR,BR,Parental,Yeast,10,10,634.6072801,659.2044615,,,0.232273995,0.0116137,157.3394589,163.4378875
A30,6/16/2020,BR,BR,Parental,Yeast,10,10,254.7061816,526.0753845,510.1354105,538.7245538,0.222312755,0.011115638,53.31605959,110.1200857
A31,6/16/2020,BR,BR,Parental,Yeast,10,10,338.1018272,448.0311098,,,0.247932011,0.012396601,91.18541033,120.8331257
A5,2/26/2020,BR,BR,Parental,Yeast,10,10,364.1745017,286.9984483,,,0.209323776,0.010466189,132.3957493,104.338372
A6,2/26/2020,BR,BR,Parental,Yeast,11,9,905.9573377,437.8793799,,,0.26969807,0.013484904,210.43033,101.7079928
A10,2/26/2020,BRSD50,BRSD,Hybrid,Yeast,10,10,953.4730653,836.9929352,,,0.257884336,0.012894217,200.9609652,176.41076
A36,6/16/2020,BRSD50,BRSD,Hybrid,Yeast,10,10,714.0271918,943.8094824,618.7027379,647.0438918,0.210767323,0.010538366,209.0288505,276.2967761
A37,6/16/2020,BRSD50,BRSD,Hybrid,Yeast,10,10,134.8012039,202.8625961,,,0.292746345,0.014637317,50.82465494,76.48612288
A9,2/26/2020,BRSD50,BRSD,Hybrid,Yeast,9,11,672.5094907,604.5105533,,,0.377034132,0.018851707,173.4296637,155.8938028
A43,6/18/2020,BRSD56,BRSD,Hybrid,Yeast,10,10,564.5123623,1236.842974,,,0.264731396,0.01323657,149.4441457,327.4311671
A44,6/18/2020,BRSD56,BRSD,Hybrid,Yeast,10,10,580.0914142,1141.437064,817.2737986,1721.338861,0.297254499,0.014862725,172.4347826,339.2973023
A45,6/18/2020,BRSD56,BRSD,Hybrid,Yeast,10,10,418.941189,1426.968255,,,0.224391986,0.011219599,94.00704552,320.200241
A62,2-Jul,BRSD56,BRSD,Hybrid,Yeast,10,10,1705.550229,3080.107151,,,0.217296045,0.010864802,370.609319,669.2951016
A13,3/5/2020,BUF,BUF,Parental,Yeast,10,10,466.9517606,353.8722744,,,0.488409638,0.024420482,142.7032301,108.1454679
A14,3/5/2020,BUF,BUF,Parental,Yeast,10,10,527.8850399,369.2310662,,,0.488126121,0.024406306,148.8016588,104.0798488
A3,2/26/2020,BUF,BUF,Parental,Yeast,9,11,351.1411441,264.9715382,371.1936633,375.0524535,0.305605937,0.015280297,171.500719,129.414653
A34,6/16/2020,BUF,BUF,Parental,Yeast,10,10,397.1223403,525.39183,,,0.281882697,0.014094135,192.8347202,255.1198366
