ril.id,sex,emmean,SE,df,lower.CL,upper.CL,gen,group
BUF,F,8.65,0.679,36,7.2745,10.03,Parental,1
BUFSD19,F,3.27,1.662,36,-0.0975,6.65,Hybrid,2
BUFSD24,F,3.65,1.175,36,1.2669,6.03,Hybrid,2
BUFSD4,F,6.42,0.679,36,5.0398,7.79,Hybrid,2
SD,F,6.58,0.96,36,4.6345,8.53,Parental,3
BUF,M,12.01,0.679,36,10.629,13.38,Parental,1
BUFSD19,M,2.42,0.831,36,0.7374,4.11,Hybrid,2
BUFSD24,M,3.33,0.679,36,1.958,4.71,Hybrid,2
BUFSD4,M,5.83,0.679,36,4.4489,7.2,Hybrid,2
SD,M,9.93,0.679,36,8.5582,11.31,Parental,3
BR,F,6.85,0.62,31,5.58,8.11,Parental,4
BRSD45,F,4.65,1.518,31,1.55,7.74,Hybrid,5
BRSD50,F,6.41,0.62,31,5.14,7.67,Hybrid,5
BRSD56,F,3.05,0.876,31,1.26,4.83,Hybrid,5
BR,M,5.3,0.62,31,4.03,6.56,Parental,4
BRSD45,M,4.93,0.876,31,3.15,6.72,Hybrid,5
BRSD50,M,4.59,0.62,31,3.33,5.86,Hybrid,5
BRSD56,M,1.07,1.518,31,-2.02,4.17,Hybrid,5
