ril.id,sex,emmean,SE,df,lower.CL,upper.CL,gen,group
BUF,F,5.45,0.543,36,4.3508,6.55,Parental,1
BUFSD19,F,2.78,1.33,36,0.0866,5.48,Hybrid,2
BUFSD24,F,2.62,0.941,36,0.7161,4.53,Hybrid,2
BUFSD4,F,5.84,0.543,36,4.742,6.95,Hybrid,2
SD,F,5.56,0.768,36,4.0024,7.12,Parental,3
BUF,M,5.63,0.543,36,4.532,6.74,Parental,1
BUFSD19,M,1.26,0.665,36,-0.091,2.61,Hybrid,2
BUFSD24,M,2.05,0.543,36,0.9496,3.15,Hybrid,2
BUFSD4,M,3.89,0.543,36,2.7914,4.99,Hybrid,2
SD,M,8.32,0.543,36,7.2225,9.43,Parental,3
BR,F,6.225,0.553,31,5.098,7.35,Parental,4
BRSD45,F,3.261,1.354,31,0.499,6.02,Hybrid,5
BRSD50,F,3.565,0.553,31,2.437,4.69,Hybrid,5
BRSD56,F,1.935,0.782,31,0.341,3.53,Hybrid,5
BR,M,2.541,0.553,31,1.413,3.67,Parental,4
BRSD45,M,3.788,0.782,31,2.194,5.38,Hybrid,5
BRSD50,M,1.79,0.553,31,0.662,2.92,Hybrid,5
BRSD56,M,0.829,1.354,31,-1.933,3.59,Hybrid,5
